CustomerID,Gender,AgeCategory,Duration,Companion,Accomodation,Rating,Upgrade,Reschedule,CancellationFee,Acitivity,NotCancelled
4507006727_00010,F,30-39,5,14,Hotel,Low,0,1,1,Modification Confirm,0
4507005651_00040,M,40-49,9,6,Hotel,High,1,0,1,Modifying Booking,0
4507005651_00040,M,40-49,9,6,Hotel,High,1,0,1,Modification Confirm,0
4507006739_00010,M,18-29,19,10,Hotel,Low,0,1,0,Modifying Booking,0
4507006739_00010,M,18-29,19,10,Hotel,Low,0,1,0,Modification Confirm,0
4507003984_00100,F,40-49,15,6,Hotel,Middle,1,0,1,Modifying Booking,0
4507003984_00100,F,40-49,15,6,Hotel,Middle,1,0,1,Modification Confirm,0
4507005086_00010,F,50-65,12,8,Resort,Low,0,1,0,Modifying Booking,0
4507005086_00010,F,50-65,12,8,Resort,Low,0,1,0,Modification Confirm,0
4507006743_00010,M,30-39,4,10,Hostel,Middle,1,0,0,Modifying Booking,0
4507006743_00010,M,30-39,4,10,Hostel,Middle,1,0,0,Modification Confirm,0
4507006743_00020,M,18-29,22,8,Hotel,Low,0,0,0,Modifying Booking,0
4507006743_00020,M,18-29,22,8,Hotel,Low,0,0,0,Modification Confirm,0
4507006743_00030,M,40-49,26,4,Resort,High,0,0,0,Modifying Booking,0
4507006743_00030,M,40-49,26,4,Resort,High,0,0,0,Modification Confirm,0
4507006743_00040,F,30-39,14,11,Resort,Low,0,0,1,Modifying Booking,0
4507006743_00040,F,30-39,14,11,Resort,Low,0,0,1,Modification Confirm,0
4507006743_00050,F,50-65,13,5,Hotel,Low,1,0,0,Modifying Booking,0
4507006743_00050,F,50-65,13,5,Hotel,Low,1,0,0,Modification Confirm,0
4507006743_00060,F,50-65,21,11,Resort,Low,0,0,0,Modifying Booking,0
4507006743_00060,F,50-65,21,11,Resort,Low,0,0,0,Modification Confirm,0
4507006743_00080,M,18-29,6,7,Hotel,Low,1,0,0,Modifying Booking,0
4507006743_00080,M,18-29,6,7,Hotel,Low,1,0,0,Modification Confirm,0
4507003008_00020,M,18-29,20,2,Hotel,Middle,1,1,0,Modifying Booking,0
4507003008_00020,M,18-29,20,2,Hotel,Middle,1,1,0,Modification Confirm,0
4507003652_00010,F,40-49,17,4,Hostel,Low,0,1,0,Modifying Booking,0
4507003652_00010,F,40-49,17,4,Hostel,Low,0,1,0,Modification Confirm,0
4507003965_00080,M,18-29,15,14,Hotel,High,0,0,0,Modifying Booking,0
4507003965_00080,M,18-29,15,14,Hotel,High,0,0,0,Modification Confirm,0
4507004980_00010,F,18-29,8,14,Hostel,Middle,1,1,0,Modifying Booking,0
4507004980_00010,F,18-29,8,14,Hostel,Middle,1,1,0,Modification Confirm,0
4507005735_00010,M,50-65,26,10,Hostel,High,1,1,1,Modifying Booking,0
4507005735_00010,M,50-65,26,10,Hostel,High,1,1,1,Modification Confirm,0
4507005298_00010,F,18-29,3,8,Resort,High,1,1,0,Modifying Booking,0
4507005298_00010,F,18-29,3,8,Resort,High,1,1,0,Modification Confirm,0
4507005111_00020,M,50-65,10,1,Hotel,High,1,0,1,Modifying Booking,0
4507005111_00020,M,50-65,10,1,Hotel,High,1,0,1,Modification Confirm,0
4507005175_00080,M,30-39,22,13,Resort,High,1,0,1,Modifying Booking,0
4507005175_00080,M,30-39,22,13,Resort,High,1,0,1,Modification Confirm,0
4507005175_00100,F,30-39,10,13,Hotel,High,0,0,0,Modifying Booking,0
4507005175_00100,F,30-39,10,13,Hotel,High,0,0,0,Modification Confirm,0
4507006753_00010,F,18-29,7,8,Hotel,Low,1,0,0,Modifying Booking,0
4507006753_00010,F,18-29,7,8,Hotel,Low,1,0,0,Modification Confirm,0
4507004614_00040,F,40-49,7,8,Hostel,High,1,1,1,Modifying Booking,0
4507004614_00040,F,40-49,7,8,Hostel,High,1,1,1,Modification Confirm,0
4507005112_00010,M,18-29,2,14,Resort,High,0,0,1,Modifying Booking,0
4507005112_00010,M,18-29,2,14,Resort,High,0,0,1,Modification Confirm,0
4507005214_00010,F,18-29,3,1,Hostel,Low,1,0,0,Modifying Booking,0
4507005214_00010,F,18-29,3,1,Hostel,Low,1,0,0,Modification Confirm,0
4507005214_00160,M,50-65,13,2,Hostel,High,0,0,0,Modifying Booking,0
4507005214_00160,M,50-65,13,2,Hostel,High,0,0,0,Modification Confirm,0
4507003964_00010,M,40-49,2,11,Resort,Low,0,1,0,Modifying Booking,0
4507003964_00010,M,40-49,2,11,Resort,Low,0,1,0,Modification Confirm,0
4507003964_00020,M,50-65,10,13,Hostel,Middle,1,1,1,Modifying Booking,0
4507003964_00020,M,50-65,10,13,Hostel,Middle,1,1,1,Modification Confirm,0
4507003965_00010,M,40-49,21,4,Hotel,Middle,0,0,1,Modifying Booking,0
4507003965_00010,M,40-49,21,4,Hotel,Middle,0,0,1,Modification Confirm,0
4507004934_00030,M,30-39,9,3,Resort,High,0,1,1,Modifying Booking,0
4507004934_00030,M,30-39,9,3,Resort,High,0,1,1,Modification Confirm,0
4507003869_00010,F,40-49,4,1,Hostel,Low,0,0,1,Modifying Booking,0
4507003869_00010,F,40-49,4,1,Hostel,Low,0,0,1,Modification Confirm,0
4507006773_00010,F,50-65,4,3,Hotel,Low,1,0,1,Modifying Booking,0
4507006773_00010,F,50-65,4,3,Hotel,Low,1,0,1,Modification Confirm,0
4507005621_00040,M,50-65,16,14,Resort,Middle,0,0,0,Modifying Booking,0
4507005621_00040,M,50-65,16,14,Resort,Middle,0,0,0,Modification Confirm,0
4507005982_00020,F,40-49,5,3,Hostel,Middle,0,1,1,Modifying Booking,0
4507005982_00020,F,40-49,5,3,Hostel,Middle,0,1,1,Modification Confirm,0
4507005238_00010,M,40-49,20,14,Resort,Middle,1,0,1,Modifying Booking,0
4507005238_00010,M,40-49,20,14,Resort,Middle,1,0,1,Modification Confirm,0
4507005238_00030,F,40-49,12,12,Hotel,High,0,1,0,Modifying Booking,0
4507005238_00030,F,40-49,12,12,Hotel,High,0,1,0,Modification Confirm,0
4507005238_00040,F,18-29,10,8,Hostel,Low,0,0,0,Modifying Booking,0
4507005238_00040,F,18-29,10,8,Hostel,Low,0,0,0,Modification Confirm,0
4507005238_00050,F,30-39,8,10,Hotel,High,1,1,0,Modifying Booking,0
4507005238_00050,F,30-39,8,10,Hotel,High,1,1,0,Modification Confirm,0
4507005238_00060,F,50-65,25,14,Resort,Low,1,1,0,Modifying Booking,0
4507005238_00060,F,50-65,25,14,Resort,Low,1,1,0,Modification Confirm,0
4507006776_00040,M,50-65,11,9,Resort,Low,1,1,1,Modifying Booking,0
4507006776_00040,M,50-65,11,9,Resort,Low,1,1,1,Modification Confirm,0
4507006776_00050,M,18-29,24,6,Hostel,Middle,1,1,1,Modifying Booking,0
4507006776_00050,M,18-29,24,6,Hostel,Middle,1,1,1,Modification Confirm,0
4507006776_00060,M,18-29,9,11,Hostel,Middle,0,0,1,Modifying Booking,0
4507006776_00060,M,18-29,9,11,Hostel,Middle,0,0,1,Modification Confirm,0
4507006776_00070,F,30-39,3,5,Hotel,High,1,1,0,Modifying Booking,0
4507006776_00070,F,30-39,3,5,Hotel,High,1,1,0,Modification Confirm,0
4507006776_00080,M,18-29,27,2,Resort,High,1,1,1,Modifying Booking,0
4507006776_00080,M,18-29,27,2,Resort,High,1,1,1,Modification Confirm,0
4507005807_00080,M,30-39,18,5,Hostel,Middle,1,1,1,Modifying Booking,0
4507005807_00080,M,30-39,18,5,Hostel,Middle,1,1,1,Modification Confirm,0
4507001163_00010,M,18-29,18,4,Resort,Middle,0,1,1,Modifying Booking,0
4507001163_00010,M,18-29,18,4,Resort,Middle,0,1,1,Modification Confirm,0
4507001163_00070,F,30-39,19,4,Hostel,High,0,0,1,Modifying Booking,0
4507001163_00070,F,30-39,19,4,Hostel,High,0,0,1,Modification Confirm,0
4507003815_00020,M,30-39,19,13,Hostel,High,0,0,0,Modifying Booking,0
4507003815_00020,M,30-39,19,13,Hostel,High,0,0,0,Modification Confirm,0
4507002972_00030,M,18-29,23,8,Hostel,High,0,1,0,Modifying Booking,0
4507002972_00030,M,18-29,23,8,Hostel,High,0,1,0,Modification Confirm,0
4507003545_00260,F,40-49,14,8,Hotel,High,1,1,0,Modifying Booking,0
4507003545_00260,F,40-49,14,8,Hotel,High,1,1,0,Modification Confirm,0
4507005805_00010,F,40-49,1,2,Resort,High,1,0,1,Modifying Booking,0
4507005805_00010,F,40-49,1,2,Resort,High,1,0,1,Modification Confirm,0
4507006099_00210,F,30-39,21,1,Hostel,Middle,0,1,1,Modifying Booking,0
4507006099_00210,F,30-39,21,1,Hostel,Middle,0,1,1,Modification Confirm,0
4507006783_00020,M,40-49,4,13,Resort,High,1,1,0,Modifying Booking,0
4507006783_00020,M,40-49,4,13,Resort,High,1,1,0,Modification Confirm,0
4507002837_00010,M,18-29,11,7,Hostel,High,1,0,0,Modifying Booking,0
4507002837_00010,M,18-29,11,7,Hostel,High,1,0,0,Modification Confirm,0
4507001234_00020,F,50-65,25,11,Hostel,Low,1,1,1,Modifying Booking,0
4507001234_00020,F,50-65,25,11,Hostel,Low,1,1,1,Modification Confirm,0
4507006786_00010,F,18-29,7,5,Hotel,Middle,1,0,1,Modifying Booking,0
4507006786_00010,F,18-29,7,5,Hotel,Middle,1,0,1,Modification Confirm,0
4507006788_00010,F,18-29,3,3,Resort,High,0,0,0,Modifying Booking,0
4507006788_00010,F,18-29,3,3,Resort,High,0,0,0,Modification Confirm,0
4507006789_00010,F,18-29,12,11,Hotel,Middle,0,1,0,Modifying Booking,0
4507006789_00010,F,18-29,12,11,Hotel,Middle,0,1,0,Modification Confirm,0
4507003363_00090,M,30-39,4,12,Hostel,Low,0,0,1,Modifying Booking,0
4507003363_00090,M,30-39,4,12,Hostel,Low,0,0,1,Modification Confirm,0
4507005815_00010,M,40-49,15,6,Hostel,High,0,1,0,Modifying Booking,0
4507005815_00010,M,40-49,15,6,Hostel,High,0,1,0,Modification Confirm,0
4507004946_00100,F,18-29,1,12,Hostel,Middle,0,0,0,Modifying Booking,0
4507004946_00100,F,18-29,1,12,Hostel,Middle,0,0,0,Modification Confirm,0
4507005552_00020,F,18-29,4,2,Hostel,Low,0,1,0,Modifying Booking,0
4507005552_00020,F,18-29,4,2,Hostel,Low,0,1,0,Modification Confirm,0
4507005552_00150,F,40-49,20,14,Hostel,Low,0,1,1,Modifying Booking,0
4507005552_00150,F,40-49,20,14,Hostel,Low,0,1,1,Modification Confirm,0
4507005552_00070,M,30-39,3,3,Hotel,Low,1,0,1,Modifying Booking,0
4507005552_00070,M,30-39,3,3,Hotel,Low,1,0,1,Modification Confirm,0
4507004991_00020,M,30-39,9,4,Hostel,High,0,1,0,Modifying Booking,0
4507004991_00020,M,30-39,9,4,Hostel,High,0,1,0,Modification Confirm,0
4507005546_00070,M,30-39,7,3,Hotel,Low,1,0,0,Modifying Booking,0
4507005546_00070,M,30-39,7,3,Hotel,Low,1,0,0,Modification Confirm,0
4507005310_00010,F,50-65,4,14,Resort,High,1,0,0,Modifying Booking,0
4507005310_00010,F,50-65,4,14,Resort,High,1,0,0,Modification Confirm,0
4507003546_00060,M,18-29,16,1,Resort,Low,1,1,1,Modifying Booking,0
4507003546_00060,M,18-29,16,1,Resort,Low,1,1,1,Modification Confirm,0
4507005515_00030,M,40-49,26,6,Hotel,Low,1,0,0,Modifying Booking,0
4507005515_00030,M,40-49,26,6,Hotel,Low,1,0,0,Modification Confirm,0
4507000938_00010,F,30-39,7,11,Hotel,High,0,0,0,Modifying Booking,0
4507000938_00010,F,30-39,7,11,Hotel,High,0,0,0,Modification Confirm,0
4507006164_00180,F,18-29,26,10,Resort,Middle,1,0,1,Modifying Booking,0
4507006164_00180,F,18-29,26,10,Resort,Middle,1,0,1,Modification Confirm,0
4507005804_00020,F,18-29,4,7,Hostel,High,0,0,0,Modifying Booking,0
4507005804_00020,F,18-29,4,7,Hostel,High,0,0,0,Modification Confirm,0
4507006266_00140,M,50-65,2,9,Resort,Low,0,1,0,Modifying Booking,0
4507006266_00140,M,50-65,2,9,Resort,Low,0,1,0,Modification Confirm,0
4507011748_00210,F,50-65,22,7,Hostel,Middle,0,0,1,Modifying Booking,0
4507011748_00210,F,50-65,22,7,Hostel,Middle,0,0,1,Modification Confirm,0
4507003281_00030,M,50-65,13,8,Resort,Middle,1,0,1,Modifying Booking,0
4507003281_00030,M,50-65,13,8,Resort,Middle,1,0,1,Modification Confirm,0
4507006472_00060,F,50-65,13,14,Hotel,Middle,0,1,1,Modifying Booking,0
4507006472_00060,F,50-65,13,14,Hotel,Middle,0,1,1,Modification Confirm,0
4507004751_00010,F,40-49,6,6,Hostel,Middle,1,0,1,Modifying Booking,0
4507004751_00010,F,40-49,6,6,Hostel,Middle,1,0,1,Modification Confirm,0
4507004112_00100,M,18-29,18,14,Resort,Low,0,1,1,Modifying Booking,0
4507004112_00100,M,18-29,18,14,Resort,Low,0,1,1,Modification Confirm,0
4507000703_00020,M,40-49,12,6,Resort,Middle,0,1,1,Modifying Booking,0
4507000703_00020,M,40-49,12,6,Resort,Middle,0,1,1,Modification Confirm,0
4507006170_00050,M,40-49,12,10,Resort,Middle,1,1,1,Modifying Booking,0
4507006170_00050,M,40-49,12,10,Resort,Middle,1,1,1,Modification Confirm,0
4507006331_00040,F,50-65,26,4,Hostel,Middle,0,0,0,Modifying Booking,0
4507006331_00040,F,50-65,26,4,Hostel,Middle,0,0,0,Modification Confirm,0
4507004567_00010,M,50-65,15,3,Resort,High,0,1,1,Modifying Booking,0
4507004567_00010,M,50-65,15,3,Resort,High,0,1,1,Modification Confirm,0
4507005719_00060,F,40-49,17,9,Hotel,Middle,1,0,0,Modifying Booking,0
4507005719_00060,F,40-49,17,9,Hotel,Middle,1,0,0,Modification Confirm,0
4507003299_00040,F,50-65,13,6,Hotel,Middle,1,1,0,Modifying Booking,0
4507003299_00040,F,50-65,13,6,Hotel,Middle,1,1,0,Modification Confirm,0
4507006188_00130,F,18-29,10,12,Resort,Low,0,1,0,Modifying Booking,0
4507006188_00130,F,18-29,10,12,Resort,Low,0,1,0,Modification Confirm,0
2000000117_00006,F,40-49,9,10,Resort,Middle,1,0,0,Modifying Booking,0
2000000117_00006,F,40-49,9,10,Resort,Middle,1,0,0,Modification Confirm,0
4507000722_00020,M,30-39,27,14,Hostel,Low,0,1,1,Modifying Booking,0
4507000722_00020,M,30-39,27,14,Hostel,Low,0,1,1,Modification Confirm,0
4507002815_00030,F,18-29,7,5,Hostel,Low,0,1,0,Modifying Booking,0
4507002815_00030,F,18-29,7,5,Hostel,Low,0,1,0,Modification Confirm,0
4507006012_00020,F,40-49,5,7,Resort,High,1,0,1,Modifying Booking,0
4507006012_00020,F,40-49,5,7,Resort,High,1,0,1,Modification Confirm,0
4507005281_00030,F,40-49,19,3,Hostel,Middle,1,0,1,Modifying Booking,0
4507005281_00030,F,40-49,19,3,Hostel,Middle,1,0,1,Modification Confirm,0
4507005498_00060,F,40-49,3,3,Hostel,High,1,1,1,Modifying Booking,0
4507005498_00060,F,40-49,3,3,Hostel,High,1,1,1,Modification Confirm,0
4507006188_00160,M,50-65,25,12,Hostel,Middle,1,0,1,Modifying Booking,0
4507006188_00160,M,50-65,25,12,Hostel,Middle,1,0,1,Modification Confirm,0
4507002971_00030,M,18-29,8,1,Hostel,Low,0,0,0,Modifying Booking,0
4507002971_00030,M,18-29,8,1,Hostel,Low,0,0,0,Modification Confirm,0
4507003370_00050,M,40-49,6,4,Resort,Middle,0,0,0,Modifying Booking,0
4507003370_00050,M,40-49,6,4,Resort,Middle,0,0,0,Modification Confirm,0
4507007314_00040,F,18-29,21,14,Hostel,Low,0,1,1,Modifying Booking,0
4507007314_00040,F,18-29,21,14,Hostel,Low,0,1,1,Modification Confirm,0
4507006423_00060,F,30-39,5,13,Resort,High,1,0,1,Modifying Booking,0
4507006423_00060,F,30-39,5,13,Resort,High,1,0,1,Modification Confirm,0
4507003294_00060,F,30-39,11,12,Hostel,High,1,1,1,Modifying Booking,0
4507003294_00060,F,30-39,11,12,Hostel,High,1,1,1,Modification Confirm,0
4507004341_00050,F,30-39,17,1,Hotel,Low,0,1,0,Modifying Booking,0
4507004341_00050,F,30-39,17,1,Hotel,Low,0,1,0,Modification Confirm,0
4507004163_00020,F,40-49,27,3,Resort,High,0,1,0,Modifying Booking,0
4507004163_00020,F,40-49,27,3,Resort,High,0,1,0,Modification Confirm,0
4507004468_00100,M,40-49,4,2,Hostel,High,1,0,0,Modifying Booking,0
4507004468_00100,M,40-49,4,2,Hostel,High,1,0,0,Modification Confirm,0
4507007314_00020,M,30-39,2,14,Hostel,Low,1,0,1,Modifying Booking,0
4507007314_00020,M,30-39,2,14,Hostel,Low,1,0,1,Modification Confirm,0
4507003880_00010,M,18-29,26,9,Resort,Middle,0,1,0,Modifying Booking,0
4507003880_00010,M,18-29,26,9,Resort,Middle,0,1,0,Modification Confirm,0
4507006160_00060,F,30-39,15,9,Resort,Low,1,0,1,Modifying Booking,0
4507006160_00060,F,30-39,15,9,Resort,Low,1,0,1,Modification Confirm,0
4507004565_00010,F,18-29,15,3,Hostel,Low,0,1,0,Modifying Booking,0
4507004565_00010,F,18-29,15,3,Hostel,Low,0,1,0,Modification Confirm,0
4507004342_00120,F,18-29,9,5,Hotel,Middle,0,1,0,Modifying Booking,0
4507004342_00120,F,18-29,9,5,Hotel,Middle,0,1,0,Modification Confirm,0
4507005921_00030,M,40-49,19,6,Hotel,Low,0,1,0,Modifying Booking,0
4507005921_00030,M,40-49,19,6,Hotel,Low,0,1,0,Modification Confirm,0
4507011748_00510,M,30-39,5,5,Hostel,High,0,1,1,Modifying Booking,0
4507011748_00510,M,30-39,5,5,Hostel,High,0,1,1,Modification Confirm,0
4507007314_00010,M,40-49,5,2,Hostel,Middle,1,0,1,Modifying Booking,0
4507007314_00010,M,40-49,5,2,Hostel,Middle,1,0,1,Modification Confirm,0
4507004340_00100,F,18-29,7,13,Hotel,High,0,0,1,Modifying Booking,0
4507004340_00100,F,18-29,7,13,Hotel,High,0,0,1,Modification Confirm,0
4507007314_00080,F,18-29,12,3,Hotel,Low,1,1,1,Modifying Booking,0
4507007314_00080,F,18-29,12,3,Hotel,Low,1,1,1,Modification Confirm,0
4507005807_00060,M,50-65,3,2,Hostel,Middle,0,1,0,Modifying Booking,0
4507005807_00060,M,50-65,3,2,Hostel,Middle,0,1,0,Modification Confirm,0
4507003878_00010,F,40-49,2,14,Hotel,High,0,0,1,Modifying Booking,0
4507003878_00010,F,40-49,2,14,Hotel,High,0,0,1,Modification Confirm,0
4507006526_00150,F,40-49,5,7,Resort,High,1,0,1,Modifying Booking,0
4507006526_00150,F,40-49,5,7,Resort,High,1,0,1,Modification Confirm,0
4507006188_00170,F,50-65,25,13,Resort,High,1,1,0,Modifying Booking,0
4507006188_00170,F,50-65,25,13,Resort,High,1,1,0,Modification Confirm,0
4507011748_00290,M,40-49,1,4,Hostel,Low,0,1,0,Modifying Booking,0
4507011748_00290,M,40-49,1,4,Hostel,Low,0,1,0,Modification Confirm,0
4507007314_00030,F,18-29,1,1,Resort,High,0,0,0,Modifying Booking,0
4507007314_00030,F,18-29,1,1,Resort,High,0,0,0,Modification Confirm,0
4507003779_00010,F,40-49,1,9,Hotel,Low,1,1,0,Modifying Booking,0
4507003779_00010,F,40-49,1,9,Hotel,Low,1,1,0,Modification Confirm,0
4507003187_00020,M,18-29,16,8,Hostel,Middle,0,1,1,Modifying Booking,0
4507003187_00020,M,18-29,16,8,Hostel,Middle,0,1,1,Modification Confirm,0
4507006125_00010,F,30-39,27,13,Resort,Low,1,0,1,Modifying Booking,0
4507006125_00010,F,30-39,27,13,Resort,Low,1,0,1,Modification Confirm,0
4507004516_00010,F,40-49,14,8,Hostel,Middle,0,0,0,Modifying Booking,0
4507004516_00010,F,40-49,14,8,Hostel,Middle,0,0,0,Modification Confirm,0
4507004469_00040,M,18-29,11,2,Hostel,High,1,1,1,Modifying Booking,0
4507004469_00040,M,18-29,11,2,Hostel,High,1,1,1,Modification Confirm,0
4507005643_00020,M,18-29,17,6,Hotel,Low,1,0,1,Modifying Booking,0
4507005643_00020,M,18-29,17,6,Hotel,Low,1,0,1,Modification Confirm,0
4507006666_00010,M,50-65,23,10,Resort,Middle,1,1,0,Modifying Booking,0
4507006666_00010,M,50-65,23,10,Resort,Middle,1,1,0,Modification Confirm,0
4507005156_00010,M,18-29,16,12,Hostel,Low,0,0,1,Modifying Booking,0
4507005156_00010,M,18-29,16,12,Hostel,Low,0,0,1,Modification Confirm,0
4507006160_00010,M,30-39,25,11,Hostel,High,0,0,1,Modifying Booking,0
4507006160_00010,M,30-39,25,11,Hostel,High,0,0,1,Modification Confirm,0
4507005803_00090,M,18-29,23,6,Hotel,High,0,0,0,Modifying Booking,0
4507005803_00090,M,18-29,23,6,Hotel,High,0,0,0,Modification Confirm,0
4507006188_00190,F,40-49,16,9,Hostel,Middle,1,1,0,Modifying Booking,0
4507006188_00190,F,40-49,16,9,Hostel,Middle,1,1,0,Modification Confirm,0
4507006467_00020,M,18-29,21,3,Hostel,Middle,0,0,0,Modifying Booking,0
4507006467_00020,M,18-29,21,3,Hostel,Middle,0,0,0,Modification Confirm,0
4507003823_00010,F,40-49,25,8,Hostel,High,1,0,1,Modifying Booking,0
4507003823_00010,F,40-49,25,8,Hostel,High,1,0,1,Modification Confirm,0
4507003613_00010,M,50-65,19,11,Resort,Low,0,0,1,Modifying Booking,0
4507003613_00010,M,50-65,19,11,Resort,Low,0,0,1,Modification Confirm,0
4507006188_00140,M,40-49,25,14,Hotel,High,1,0,1,Modifying Booking,0
4507006188_00140,M,40-49,25,14,Hotel,High,1,0,1,Modification Confirm,0
4507004075_00100,M,30-39,22,2,Resort,Middle,0,1,1,Modifying Booking,0
4507004075_00100,M,30-39,22,2,Resort,Middle,0,1,1,Modification Confirm,0
4507005921_00020,F,50-65,15,11,Resort,Middle,0,1,0,Modifying Booking,0
4507005921_00020,F,50-65,15,11,Resort,Middle,0,1,0,Modification Confirm,0
4507006164_00040,F,50-65,25,2,Hostel,Low,0,0,0,Modifying Booking,0
4507006164_00040,F,50-65,25,2,Hostel,Low,0,0,0,Modification Confirm,0
4507006012_00010,M,30-39,23,11,Hostel,High,1,0,1,Modifying Booking,0
4507006012_00010,M,30-39,23,11,Hostel,High,1,0,1,Modification Confirm,0
2000000022_00001,M,40-49,12,14,Hotel,High,1,0,1,Modifying Booking,0
2000000022_00001,M,40-49,12,14,Hotel,High,1,0,1,Modification Confirm,0
4507000294_00010,F,18-29,4,14,Hostel,Low,1,0,0,Modifying Booking,0
4507000294_00010,F,18-29,4,14,Hostel,Low,1,0,0,Modification Confirm,0
4507000294_00030,F,50-65,18,4,Hostel,High,0,0,0,Modifying Booking,0
4507000294_00030,F,50-65,18,4,Hostel,High,0,0,0,Modification Confirm,0
4507000325_00010,M,50-65,23,10,Resort,Low,1,1,1,Modifying Booking,0
4507000325_00010,M,50-65,23,10,Resort,Low,1,1,1,Modification Confirm,0
4507000325_00020,M,40-49,21,1,Hotel,Low,0,0,0,Modifying Booking,0
4507000325_00020,M,40-49,21,1,Hotel,Low,0,0,0,Modification Confirm,0
4507000325_00030,F,30-39,18,14,Hostel,Low,0,0,0,Modifying Booking,0
4507000325_00030,F,30-39,18,14,Hostel,Low,0,0,0,Modification Confirm,0
4507000325_00040,F,18-29,23,5,Hostel,Middle,0,1,0,Modifying Booking,0
4507000325_00040,F,18-29,23,5,Hostel,Middle,0,1,0,Modification Confirm,0
4507000325_00060,M,40-49,2,1,Resort,Low,1,0,1,Modifying Booking,0
4507000325_00060,M,40-49,2,1,Resort,Low,1,0,1,Modification Confirm,0
4507000434_00010,M,18-29,25,13,Resort,Low,0,1,1,Modifying Booking,0
4507000434_00010,M,18-29,25,13,Resort,Low,0,1,1,Modification Confirm,0
4507000436_00010,M,18-29,4,4,Hotel,Middle,0,1,1,Modifying Booking,0
4507000436_00010,M,18-29,4,4,Hotel,Middle,0,1,1,Modification Confirm,0
4507000896_00010,M,18-29,9,12,Hostel,High,0,1,0,Modifying Booking,0
4507000896_00010,M,18-29,9,12,Hostel,High,0,1,0,Modification Confirm,0
4507001003_00010,M,30-39,12,7,Hotel,High,0,1,0,Modifying Booking,0
4507001003_00010,M,30-39,12,7,Hotel,High,0,1,0,Modification Confirm,0
4507001099_00070,M,40-49,14,7,Hostel,Middle,1,0,1,Modifying Booking,0
4507001099_00070,M,40-49,14,7,Hostel,Middle,1,0,1,Modification Confirm,0
4507001099_00160,F,40-49,18,3,Hostel,Low,0,0,1,Modifying Booking,0
4507001099_00160,F,40-49,18,3,Hostel,Low,0,0,1,Modification Confirm,0
4507001099_00170,F,18-29,21,12,Resort,Middle,1,0,0,Modifying Booking,0
4507001099_00170,F,18-29,21,12,Resort,Middle,1,0,0,Modification Confirm,0
4507001901_00010,F,40-49,22,2,Resort,Low,1,1,1,Modifying Booking,0
4507001901_00010,F,40-49,22,2,Resort,Low,1,1,1,Modification Confirm,0
4507002971_00070,F,18-29,17,12,Hostel,High,1,1,1,Modifying Booking,0
4507002971_00070,F,18-29,17,12,Hostel,High,1,1,1,Modification Confirm,0
4507003108_00010,M,18-29,10,9,Resort,Middle,1,0,0,Modifying Booking,0
4507003108_00010,M,18-29,10,9,Resort,Middle,1,0,0,Modification Confirm,0
4507003552_00010,M,18-29,15,8,Hotel,Middle,1,0,0,Modifying Booking,0
4507003552_00010,M,18-29,15,8,Hotel,Middle,1,0,0,Modification Confirm,0
4507003560_00010,F,50-65,14,14,Hotel,Middle,1,0,1,Modifying Booking,0
4507003560_00010,F,50-65,14,14,Hotel,Middle,1,0,1,Modification Confirm,0
